1,1,281.97,384.63,167.56,221.99,1.00,6,-1,-1
1,2,402.35,238.42,84.31,103.74,0.99,4,-1,-1
1,3,459.77,105.76,77.70,102.67,0.99,6,-1,-1
1,4,471.29,432.02,100.75,147.71,1.00,4,-1,-1
1,5,533.19,6.52,44.40,43.96,0.90,4,-1,-1
1,6,566.92,5.78,16.22,35.74,0.92,1,-1,-1
1,7,573.75,51.97,48.67,50.69,1.00,4,-1,-1
1,8,579.30,4.51,17.08,37.83,0.83,1,-1,-1
1,9,629.25,0.08,69.16,79.54,0.99,6,-1,-1
1,10,631.81,365.21,87.09,127.00,1.00,4,-1,-1
1,11,635.65,82.02,75.99,107.74,1.00,6,-1,-1
1,12,685.60,219.00,70.01,79.40,1.00,4,-1,-1
1,13,706.94,9.42,58.06,80.44,0.99,6,-1,-1
1,14,776.95,280.47,160.51,79.40,1.00,4,-1,-1
1,15,777.38,0.01,51.23,52.66,0.63,5,-1,-1
1,16,781.22,173.53,65.74,65.32,1.00,4,-1,-1
1,17,817.51,413.02,149.84,135.11,1.00,4,-1,-1
1,18,836.29,20.66,96.05,42.36,0.97,4,-1,-1
1,19,860.62,232.66,114.41,64.03,0.99,4,-1,-1
1,20,867.46,79.99,116.12,54.59,0.97,4,-1,-1
1,21,944.30,285.17,44.40,52.51,0.96,10,-1,-1
1,22,1103.96,226.04,27.32,52.94,0.97,1,-1,-1
2,1,277.15,388.09,167.74,227.28,0.99,6,-1,-1
2,2,397.77,243.22,85.33,99.34,1.00,4,-1,-1
2,3,455.37,106.28,78.52,104.57,0.99,6,-1,-1
2,4,469.59,429.89,100.12,147.04,1.00,4,-1,-1
2,5,528.82,6.78,43.70,44.77,0.76,4,-1,-1
2,6,562.57,5.82,16.24,35.76,0.91,1,-1,-1
2,7,569.79,51.08,49.46,51.18,1.00,4,-1,-1
2,8,576.07,5.10,15.62,37.24,0.76,1,-1,-1
2,9,625.31,-0.15,67.75,80.06,0.99,6,-1,-1
2,10,628.35,365.77,88.67,127.99,1.00,4,-1,-1
2,11,631.74,81.91,76.07,106.59,0.99,6,-1,-1
2,12,682.50,218.88,71.57,80.18,1.00,4,-1,-1
2,13,702.32,8.87,58.86,82.43,0.99,6,-1,-1
2,14,775.05,282.04,160.65,79.41,1.00,4,-1,-1
2,15,774.29,0.08,50.54,52.35,0.90,5,-1,-1
2,16,778.18,174.37,67.29,65.99,1.00,4,-1,-1
2,17,816.05,415.04,150.36,137.20,1.00,4,-1,-1
2,18,833.99,21.01,95.76,41.99,0.98,4,-1,-1
2,19,857.66,233.43,116.36,64.79,1.00,4,-1,-1
2,20,864.45,80.18,116.59,54.22,0.99,4,-1,-1
2,21,942.52,287.24,42.96,51.42,0.97,10,-1,-1
2,22,1099.31,227.84,30.32,52.97,0.97,1,-1,-1
3,1,268.88,392.22,169.86,226.23,1.00,6,-1,-1
3,2,390.69,244.15,85.71,101.30,0.99,4,-1,-1
3,3,449.47,107.48,78.04,104.58,0.99,6,-1,-1
3,4,464.57,427.36,100.06,145.60,1.00,4,-1,-1
3,5,522.26,7.80,42.93,44.29,0.84,4,-1,-1
3,6,556.68,6.34,16.26,35.87,0.84,1,-1,-1
3,7,563.64,50.02,49.62,51.20,1.00,4,-1,-1
3,8,570.08,5.49,15.38,36.78,0.63,1,-1,-1
3,9,619.18,-0.10,68.88,80.19,0.99,6,-1,-1
3,10,623.04,366.00,88.99,127.17,1.00,4,-1,-1
3,11,625.30,81.62,76.79,106.40,1.00,6,-1,-1
3,12,677.56,218.62,71.21,80.32,1.00,4,-1,-1
3,13,697.08,9.70,58.37,81.81,0.95,6,-1,-1
3,14,770.37,283.55,160.39,79.73,1.00,4,-1,-1
3,15,769.00,0.06,51.11,53.02,0.74,5,-1,-1
3,16,772.94,175.49,66.27,65.86,1.00,4,-1,-1
3,17,811.47,417.66,150.84,137.40,0.99,4,-1,-1
3,18,828.19,20.69,98.41,42.26,0.98,4,-1,-1
3,19,852.46,234.28,117.40,65.24,0.99,4,-1,-1
3,20,858.88,80.27,117.70,54.36,0.99,4,-1,-1
3,21,938.90,289.15,41.38,50.56,0.99,10,-1,-1
3,22,1094.54,229.32,30.87,53.64,0.99,1,-1,-1
4,1,258.55,395.81,172.61,228.80,1.00,6,-1,-1
4,2,382.96,246.45,85.96,101.92,0.99,4,-1,-1
4,3,441.26,108.47,77.86,105.15,0.96,6,-1,-1
4,4,459.22,424.00,100.04,144.61,1.00,4,-1,-1
4,5,514.48,7.99,42.03,44.97,0.79,4,-1,-1
4,6,548.43,6.85,16.26,35.81,0.86,1,-1,-1
4,7,556.28,49.31,49.64,50.97,1.00,4,-1,-1
4,8,561.75,5.63,16.00,37.22,0.49,1,-1,-1
4,9,612.12,0.13,67.94,79.44,0.98,6,-1,-1
4,10,616.92,366.08,89.05,127.34,1.00,4,-1,-1
4,11,617.17,81.08,77.66,106.40,1.00,6,-1,-1
4,12,672.19,218.28,71.05,80.31,1.00,4,-1,-1
4,13,689.65,9.44,58.84,82.62,0.98,6,-1,-1
4,14,764.36,284.86,160.92,79.46,1.00,4,-1,-1
4,15,761.50,0.06,50.64,52.90,0.65,5,-1,-1
4,16,766.45,176.15,66.54,66.68,1.00,4,-1,-1
4,17,805.50,419.74,152.26,138.17,0.99,4,-1,-1
4,18,820.81,20.87,98.26,41.83,0.98,4,-1,-1
4,19,845.96,234.91,117.99,65.33,1.00,4,-1,-1
4,20,852.24,80.07,118.99,55.19,0.99,4,-1,-1
4,21,933.84,289.72,38.24,50.30,0.99,10,-1,-1
4,22,1089.07,230.76,29.72,54.15,0.99,1,-1,-1
5,1,251.10,399.74,173.06,230.89,0.99,6,-1,-1
5,2,375.41,248.51,86.14,103.70,0.99,4,-1,-1
5,3,433.73,109.54,79.03,105.97,1.00,6,-1,-1
5,4,454.66,420.77,99.98,143.57,1.00,4,-1,-1
5,5,507.11,8.36,42.41,45.07,0.86,4,-1,-1
5,6,540.59,7.16,16.88,36.19,0.86,1,-1,-1
5,7,549.98,48.22,48.99,51.24,0.99,4,-1,-1
